source_code,source_text,target_code,target_text
en,3.5G Disposable - Kiwi Krush - Sativa,es,3.5G Desechable - Kiwi Krush - Sativa
en,kiwi-krush-3-5g-disposable,es,kiwi-krush-3-5g-desechable
en,Vape,es,vapear
en,Kiwi Krush 3.5G Sativa Disposable Vape - Innerbloom,es,Vape desechable Kiwi Krush 3.5G Sativa - Innerbloom
en,Elevate your vibe with Kiwi Krush & experience the bold and refreshing taste of our top-selling Sativa strain disposable vape. Bold true to label flavor!,es,Eleva tu vibra con Kiwi Krush y experimenta el sabor atrevido y refrescante de nuestro vaporizador desechable de cepa Sativa más vendido. ¡Audaz y fiel al sabor de la etiqueta!
en,3.5G Disposable - Lychee Martini - Hybrid,es,3.5G Desechable - Lychee Martini - Híbrido
en,lychee-martini-3-5g-disposable,es,lichi-martini-3-5g-desechable
en,Vape,es,vapear
en,Lychee Martini 3.5G Hybrid Disposable Vape - Innerbloom,es,Vape desechable híbrido Lychee Martini 3.5G - Innerbloom
en,"Unleash tropical bliss with Lychee Martini. Feel the exotic magic of Lychee Martini, a Hybrid strain crafted for dreamers and creators. Try Lychee Martini today",es,"Libera la felicidad tropical con Lychee Martini. Siente la magia exótica de Lychee Martini, una variedad híbrida diseñada para soñadores y creadores. Pruebe Lychee Martini hoy"
en,3.5G Disposable - Watermelon Slush - Indica,es,3.5G Desechable - Granizado de Sandía - Indica
en,watermelon-slush-3-5g-disposable,es,granizado-de-sandía-3-5g-desechable
en,Vape,es,vapear
en,Watermelon Slush 3.5G Indica Disposable Vape - Innerbloom,es,Vape desechable Watermelon Slush 3.5G Indica - Innerbloom
en,Chill out with Watermelon Slush & experience pure tranquility infused with the juicy sweetness of summer watermelon. Helps ease your mind and relax your body.,es,Relájate con Watermelon Slush y experimenta pura tranquilidad impregnada de la jugosa dulzura de la sandía de verano. Ayuda a tranquilizar tu mente y relajar tu cuerpo.
en,3.5G Disposable - Strawberry Banana Dream - Hybrid,es,3.5G Desechable - Strawberry Banana Dream - Híbrido
en,strawberry-banana-3-5g-disposable,es,fresa-platano-3-5g-desechable
en,Vape,es,vapear
