source_code,source_text,target_code,target_text
en,Shop Cash was not found.,nl,Winkelgeld is niet gevonden.
en,You no longer have permission to place B2B orders. %{logout_url} to place a personal order instead.,nl,U heeft geen toestemming meer om B2B-bestellingen te plaatsen. %{logout_url} om in plaats daarvan een persoonlijke bestelling te plaatsen.
en,Log out,nl,Uitloggen
en,Exclusive offers from Shop,nl,Exclusieve aanbiedingen van Shop
en,Get directions,nl,Routebeschrijving opvragen
en,Error looking up that address,nl,Fout bij het opzoeken van dat adres
en,No results for that address,nl,Geen resultaten voor dat adres
en,"You have exceeded the Google API usage limit. Consider upgrading to a <a href=""https://developers.google.com/maps/premium/usage-limits"">Premium Plan</a>.",nl,"U heeft de gebruikslimiet van de Google API overschreden. Overweeg een upgrade naar een <a href=""https://developers.google.com/maps/premium/usage-limits"">Premium-abonnement</a>."
en,"There was a problem authenticating your Google Maps account. Create and enable the <a href=""https://developers.google.com/maps/documentation/javascript/get-api-key"">JavaScript API</a> and <a href=""https://developers.google.com/maps/documentation/geocoding/get-api-key"">Geocoding API</a> permissions of your app.",nl,"Er is een probleem opgetreden bij het verifiëren van uw Google Maps-account. Maak en schakel de machtigingen <a href=""https://developers.google.com/maps/documentation/javascript/get-api-key"">JavaScript API</a> en <a href=""https://developers.google.com/maps/documentation/geocoding/get-api-key"">Geocoding API</a> voor uw app in."
en,Close (esc),nl,Sluiten (esc)
en,"Tagged ""{{ tags }}""",nl,"Getagd ""{{ tags }}"""
en,Page {{ page }},nl,Pagina {{ page }}
en,404 Page Not Found,nl,404 Pagina niet gevonden
en,<p>The page you were looking for does not exist.</p><p><a href='{{ url }}'>Continue shopping</a></p>,nl,<p>De pagina die u zocht bestaat niet.</p><p><a href='{{ url }}'>Ga verder met winkelen</a></p>
en,Enter store using password,nl,Ga de winkel binnen met een wachtwoord
en,Email,nl,E-mail
en,We will send you an email right before we open!,nl,Wij sturen u vlak voordat wij opengaan een e-mail!
en,"Store owner? <a href=""/admin"" class=""text-link"">Log in here</a>",nl,"Winkeleigenaar? <a href=""/admin"" class=""text-link"">Log hier in</a>"
en,Home,nl,Thuis
en,Back to the frontpage,nl,Terug naar de voorpagina
en,Share,nl,Deel
en,Tweet,nl,Tweeten
en,Pin it,nl,Speld het vast
en,Tweet on Twitter,nl,Twitteren op Twitter
en,Enter your email,nl,Voer uw e-mailadres in
en,Subscribe,nl,Abonneren
en,Pages:,nl,Pagina's:
en,Articles:,nl,Artikelen:
en,"Your search for ""{{ terms }}"" did not yield any results.",nl,"Uw zoekopdracht naar ""{{ terms }}"" heeft geen resultaten opgeleverd."
en,"Your search for ""{{ terms }}"" revealed the following:",nl,"Uw zoekopdracht naar ""{{ terms }}"" heeft het volgende opgeleverd:"
en,Search our store,nl,Zoek in onze winkel
en,{{ count }} results,nl,{{ count }} resultaten
en,Site navigation,nl,Sitenavigatie
en,Close menu,nl,Menu sluiten
en,Expand submenu,nl,Submenu uitvouwen
en,Collapse submenu,nl,Submenu samenvouwen
en,Currency,nl,Munteenheid
en,Tags,nl,Labels
en,Continue reading,nl,Lees verder
