source_code,source_text,target_code,target_text
en,You no longer have permission to place B2B orders. %{logout_url} to place a personal order instead.,id,Anda tidak lagi memiliki izin untuk melakukan pemesanan B2B. %{logout_url} untuk melakukan pemesanan pribadi.
en,Log out,id,Keluar
en,Exclusive offers from Shop,id,Penawaran eksklusif dari Toko
en,<p></p>,id,<p></p>
en,Share,id,Membagikan
en,Browse our latest products,id,Jelajahi produk terbaru kami
en,Shop all,id,Belanja semuanya
en,Featured products,id,Produk unggulan
en,Collections,id,Koleksi
en,Opening soon,id,Segera dibuka
en,<p>Be the first to know when we launch.</p>,id,<p>Jadilah orang pertama yang mengetahui kapan kami meluncurkannya.</p>
en,{{ product.vendor }},id,{{ product.vendor }}
en,Share,id,Membagikan
en,You may also like,id,Anda mungkin juga menyukainya
en,Review Box,id,Kotak Tinjauan
en,Subscribe to our emails,id,Berlangganan email kami
en,Welcome to our store,id,Selamat datang di toko kami
en,"55,20,20,20",id,"55,20,20,20"
en,50px,id,50px
en,auto,id,auto
en,auto,id,auto
en,80px,id,80px
en,Share,id,Membagikan
en,Browse our latest products,id,Jelajahi produk terbaru kami
en,Shop all,id,Belanja semuanya
en,Featured products,id,Produk unggulan
en,Collections,id,Koleksi
en,Opening soon,id,Segera dibuka
en,<p>Be the first to know when we launch.</p>,id,<p>Jadilah orang pertama yang mengetahui kapan kami meluncurkannya.</p>
en,{{ product.vendor }},id,{{ product.vendor }}
en,Share,id,Membagikan
en,You may also like,id,Anda mungkin juga menyukainya
en,Review Box,id,Kotak Tinjauan
en,Subscribe to our emails,id,Berlangganan email kami
en,Welcome to our store,id,Selamat datang di toko kami
en,<p></p>,id,<p></p>
en,You no longer have permission to place B2B orders. %{logout_url} to place a personal order instead.,id,Anda tidak lagi memiliki izin untuk melakukan pemesanan B2B. %{logout_url} untuk melakukan pemesanan pribadi.
en,Log out,id,Keluar
en,Exclusive offers from Shop,id,Penawaran eksklusif dari Toko
en,Main menu,id,Menu utama
en,Footer menu,id,Menu catatan kaki
en,Customer account main menu,id,Menu utama akun pelanggan
en,Home,id,Rumah
en,Catalog,id,Katalog
en,Contact,id,Kontak
en,Search,id,Mencari
en,Shop,id,Toko
en,Orders,id,Pesanan
en,Do not sell or share my personal information,id,Jangan menjual atau membagikan informasi pribadi saya
en,Home,id,Rumah
