source_code,source_text,target_code,target_text
en,", ",ar,", "
en,and,ar,و
en,", and ",ar,، و
en,Are you sure you want to delete the address {{address}}?,ar,هل أنت متأكد أنك تريد حذف العنوان {{address}}؟
en,Checkout,ar,الدفع
en,Error,ar,خطأ
en,Skip to content,ar,انتقل إلى المحتوى
en,Breadcrumb,ar,مسار التنقل
en,Continue,ar,يكمل
en,Complete order,ar,النظام الكامل
en,Pay now,ar,ادفع الآن
en,Authenticate payment,ar,مصادقة الدفع
en,Edit,ar,يحرر
en,All rights reserved %{shop_name},ar,جميع الحقوق محفوظة %{shop_name}
en,Print,ar,مطبعة
en,Cart,ar,عربة
en,Close,ar,يغلق
en,Close,ar,يغلق
en,View more,ar,عرض المزيد
en,Continue to shipping,ar,الاستمرار في الشحن
en,Continue to payment,ar,الاستمرار في الدفع
en,Review order,ar,مراجعة الطلب
en,Return to cart,ar,العودة إلى السلة
en,Return to information,ar,العودة إلى المعلومات
en,Return to shipping,ar,العودة إلى الشحن
en,Return to payment,ar,العودة إلى الدفع
en,Choose a shipping method,ar,اختر طريقة الشحن
en,Choose a payment method,ar,اختر طريقة الدفع
en,Choose a billing address,ar,اختر عنوان إرسال الفواتير
en,Contact us for more information,ar,اتصل بنا لمزيد من المعلومات
en,Suggestions,ar,اقتراحات
en,1 item available,ar,1 عنصر متاح
en,{{number}} items available,ar,{{number}} العناصر المتوفرة
en,{{number}} of {{total}},ar,{{number}} من {{total}}
en,Close suggestions,ar,إغلاق الاقتراحات
en,Opens in a new window.,ar,يفتح في نافذة جديدة.
en,Opens external website.,ar,يفتح موقع خارجي.
en,Opens external website in a new window.,ar,يفتح موقع خارجي في نافذة جديدة.
en,%{shop_name} - Checkout,ar,%{shop_name} - الخروج
en,More information,ar,مزيد من المعلومات
en,QR code,ar,رمز الاستجابة السريعة
en,This policy only accepts empty terms.,ar,تقبل هذه السياسة المصطلحات الفارغة فقط.
en,"Something went wrong with your order, please try checking out again.",ar,حدث خطأ ما في طلبك، يرجى محاولة التحقق مرة أخرى.
