source_text,source_code,target_code,target_text,
Material: Fabric,en,ar,المادة: قماش,
"️ Easy to Carry and Store: These awesome small blackboard signs have removable stands which allow them to stand up well on a table making them so convenient to use. The little easels can also be folded down flat, which makes them easy to store or carry. You can place the framed chalkboard horizontally or vertically and use them as wedding signs, table numbers, name tags, place cards, favor tags, plant decorative signs, food labels, and so on.",en,ar,️ سهلة الحمل والتخزين: تحتوي علامات السبورة الصغيرة الرائعة هذه على حوامل قابلة للإزالة مما يسمح لها بالوقوف بشكل جيد على الطاولة مما يجعلها مريحة للغاية في الاستخدام. يمكن أيضًا طي الحوامل الصغيرة بشكل مسطح، مما يجعلها سهلة التخزين أو الحمل. يمكنك وضع السبورة المؤطرة أفقيًا أو رأسيًا واستخدامها كعلامات زفاف، وأرقام طاولات، وبطاقات أسماء، وبطاقات مكان، وعلامات مفضلة، ولافتات زخرفية نباتية، وملصقات طعام، وما إلى ذلك.,
"Breathable Disposable Hair Nets - Available in 10, 30, 60, and 98 Piece Packs. Elastic Non-Woven Fabric Caps designed for Food Service and Kitchen Use. Features Comfort Fit with Drawstring Closure.",en,ar,شبكات شعر قابلة للتنفس للاستعمال مرة واحدة - متوفرة في عبوات مكونة من 10 و30 و60 و98 قطعة. قبعات قماشية مرنة غير منسوجة مصممة لخدمة الطعام واستخدام المطبخ. يتميز بملاءمة مريحة مع إغلاق برباط.,
"The Mini Snack Sealer Vacuum Packer is a compact and reusable food preservation tool, perfect for commercial use. It is space-efficient and battery operated (2 AA batteries not included), making it ideal for hotels, restaurants, food trucks, and meal",en,ar,إن ماكينة تعبئة الوجبات الخفيفة الصغيرة هي أداة صغيرة الحجم وقابلة لإعادة الاستخدام لحفظ الطعام، مثالية للاستخدام التجاري. إنها موفرة للمساحة وتعمل بالبطارية (بطاريتان AA غير متضمنتين)، مما يجعلها مثالية للفنادق والمطاعم وشاحنات الطعام والوجبات.,
3400,en,ar,3400,
"50 sets of American-style transparent lidded disposable plastic packaging boxes, ideal for fast food, takeout, and storing freshness. Can be safely used in the microwave and refrigerator.",en,ar,50 مجموعة من صناديق التغليف البلاستيكية ذات الغطاء الشفاف ذات الغطاء الأمريكي، مثالية للوجبات السريعة، والوجبات السريعة، وتخزين المنتجات الطازجة. يمكن استخدامه بأمان في الميكروويف والثلاجة.,
elegant 15 hole clear acrylic lollipop   shaped display for weddings birthdays parties details 3,en,ar,شاشة عرض أنيقة على شكل مصاصة من الأكريليك الشفاف مكونة من 15 فتحة لحفلات الزفاف وأعياد الميلاد وتفاصيل الحفلات 3,
"Leakproof & Druable - Advehiclece meal food prep, diet portion control, healthy nutritious meals and to-go meals are super convenient to prepare in these durable food containers for meal prepping. The hard-plastic construction will ensure no cras or breaking along the way. The leak proof lids will tightly seal the containers, preventing any annoying leaks or spills in your bag or freezer.",en,ar,مانعة للتسرب وقابلة للتحمل - إن إعداد طعام الوجبات من Advehiclece والتحكم في جزء النظام الغذائي والوجبات المغذية الصحية والوجبات الجاهزة مريحة للغاية للتحضير في حاويات الطعام المتينة هذه لإعداد الوجبات. سيضمن البناء البلاستيكي الصلب عدم وجود أي خدوش أو كسر على طول الطريق. الأغطية المانعة للتسرب ستغلق الحاويات بإحكام، مما يمنع أي تسرب أو انسكابات مزعجة في حقيبتك أو الفريزر.,
"Set of 50 Elegant U-Shaped Dessert Cups - Made of Disposable Clear PET, Great for Layered Mousse & Cake Crumb Parfaits - Environmentally Friendly and Recyclable, Perfect for Weddings, Birthdays & Parties, Ideal for Dessert Table Displays",en,ar,مجموعة مكونة من 50 كوب حلوى أنيق على شكل حرف U - مصنوعة من مادة PET الشفافة للاستعمال مرة واحدة، رائعة للاستخدام في طبقات الموس وفتات الكعك - صديقة للبيئة وقابلة لإعادة التدوير، مثالية لحفلات الزفاف وأعياد الميلاد والحفلات، مثالية لعرض طاولات الحلوى,
"20-Pack of elegant plastic champagne flutes with golden rims, each holding 4.5oz of liquid. These recyclable and reusable toasting glasses are perfect for weddings, birthdays, and bridal showers. Versatile and convenient, these premium disposable",en,ar,20 عبوة من مزامير الشمبانيا البلاستيكية الأنيقة بحواف ذهبية، كل منها يحمل 4.5 أونصة من السائل. تعتبر أكواب التحميص القابلة لإعادة التدوير وإعادة الاستخدام مثالية لحفلات الزفاف وأعياد الميلاد وحفلات الزفاف. متعددة الاستخدامات ومريحة، هذه المنتجات الفاخرة التي تستخدم لمرة واحدة,
