source_code,source_text,target_code,target_text
en,3.5G Disposable - Kiwi Krush - Sativa,pt-BR,"3,5G Descartável - Kiwi Krush - Sativa"
en,kiwi-krush-3-5g-disposable,pt-BR,kiwi-krush-3-5g-descartável
en,Vape,pt-BR,Vaporizador
en,Kiwi Krush 3.5G Sativa Disposable Vape - Innerbloom,pt-BR,Vape descartável Kiwi Krush 3.5G Sativa - Innerbloom
en,Elevate your vibe with Kiwi Krush & experience the bold and refreshing taste of our top-selling Sativa strain disposable vape. Bold true to label flavor!,pt-BR,Eleve a sua vibração com Kiwi Krush e experimente o sabor ousado e refrescante do nosso vaporizador descartável da variedade Sativa mais vendido. Ousado e fiel ao sabor do rótulo!
en,3.5G Disposable - Lychee Martini - Hybrid,pt-BR,"3,5G Descartável - Lichia Martini - Híbrido"
en,lychee-martini-3-5g-disposable,pt-BR,lichia-martini-3-5g-descartável
en,Vape,pt-BR,Vaporizador
en,Lychee Martini 3.5G Hybrid Disposable Vape - Innerbloom,pt-BR,Vape descartável híbrido Lychee Martini 3.5G - Innerbloom
en,"Unleash tropical bliss with Lychee Martini. Feel the exotic magic of Lychee Martini, a Hybrid strain crafted for dreamers and creators. Try Lychee Martini today",pt-BR,"Liberte a felicidade tropical com Lychee Martini. Sinta a magia exótica do Lychee Martini, uma variedade híbrida criada para sonhadores e criadores. Experimente o Martini de Lichia hoje"
en,3.5G Disposable - Watermelon Slush - Indica,pt-BR,"3,5G Descartável - Slush de Melancia - Indica"
en,watermelon-slush-3-5g-disposable,pt-BR,melancia-lama-3-5g-descartável
en,Vape,pt-BR,Vaporizador
en,Watermelon Slush 3.5G Indica Disposable Vape - Innerbloom,pt-BR,Watermelon Slush 3.5G Indica Vape Descartável - Innerbloom
en,Chill out with Watermelon Slush & experience pure tranquility infused with the juicy sweetness of summer watermelon. Helps ease your mind and relax your body.,pt-BR,Relaxe com Watermelon Slush e experimente a pura tranquilidade infundida com a doçura suculenta da melancia de verão. Ajuda a aliviar sua mente e relaxar seu corpo.
en,3.5G Disposable - Strawberry Banana Dream - Hybrid,pt-BR,"3,5G Descartável - Morango Banana Dream - Híbrido"
en,strawberry-banana-3-5g-disposable,pt-BR,morango-banana-3-5g-descartável
en,Vape,pt-BR,Vaporizador
en,Strawberry Banana Dream 3.5G Hybrid Disposable Vape - Innerbloom,pt-BR,Vape descartável híbrido Strawberry Banana Dream 3.5G - Innerbloom
en,Awaken your day with Strawberry Banana Dream. Start your day on a sweet note featuring a delectable fusion of ripe strawberries and tropical banana. Act fast!,pt-BR,"Desperte o seu dia com Strawberry Banana Dream. Comece o dia com uma nota doce, apresentando uma deliciosa fusão de morangos maduros e banana tropical. Aja rápido!"
en,3.5G Disposable - Iced Peaches & Cream - Indica,pt-BR,"3,5G Descartável - Pêssegos Gelados e Creme - Indica"
en,iced-peaches-3-5g-disposable,pt-BR,pêssegos gelados-3-5g-descartáveis
en,Vape,pt-BR,Vaporizador
en,Iced Peaches and Cream 3.5G Indica Disposable Vape - Innerbloom,pt-BR,"Pêssegos gelados e creme 3,5G Indica Vape descartável - Innerbloom"
en,Black Logo Trucker Hat,pt-BR,Chapéu trucker com logotipo preto
en,black-logo-trucker-hat,pt-BR,chapéu de caminhoneiro com logotipo preto
en,Apparel,pt-BR,Vestuário
