source_code,source_text,target_code,target_text
en,Shop Cash was not found.,pt-PT,O dinheiro da loja não foi encontrado.
en,You no longer have permission to place B2B orders. %{logout_url} to place a personal order instead.,pt-PT,Você não tem mais permissão para fazer pedidos B2B. %{logout_url} para fazer um pedido pessoal.
en,Log out,pt-PT,Sair
en,Exclusive offers from Shop,pt-PT,Ofertas exclusivas da Loja
en,<p></p>,pt-PT,<p></p>
en,Share,pt-PT,Compartilhar
en,Browse our latest products,pt-PT,Navegue pelos nossos produtos mais recentes
en,Shop all,pt-PT,Compre tudo
en,Featured products,pt-PT,Produtos em destaque
en,Collections,pt-PT,Coleções
en,Opening soon,pt-PT,Abrindo em breve
en,<p>Be the first to know when we launch.</p>,pt-PT,<p>Seja o primeiro a saber quando lançarmos.</p>
en,{{ product.vendor }},pt-PT,{{ product.vendor }}
en,Share,pt-PT,Compartilhar
en,You may also like,pt-PT,Você também pode gostar
en,Review Box,pt-PT,Caixa de revisão
en,Subscribe to our emails,pt-PT,Assine nossos e-mails
en,Welcome to our store,pt-PT,Bem-vindo à nossa loja
en,"55,20,20,20",pt-PT,"55,20,20,20"
en,50px,pt-PT,50px
en,auto,pt-PT,auto
en,auto,pt-PT,auto
en,80px,pt-PT,80px
en,Share,pt-PT,Compartilhar
en,Browse our latest products,pt-PT,Navegue pelos nossos produtos mais recentes
en,Shop all,pt-PT,Compre tudo
en,Featured products,pt-PT,Produtos em destaque
en,Collections,pt-PT,Coleções
en,Opening soon,pt-PT,Abrindo em breve
en,<p>Be the first to know when we launch.</p>,pt-PT,<p>Seja o primeiro a saber quando lançarmos.</p>
en,{{ product.vendor }},pt-PT,{{ product.vendor }}
en,Share,pt-PT,Compartilhar
en,You may also like,pt-PT,Você também pode gostar
en,Review Box,pt-PT,Caixa de revisão
en,Subscribe to our emails,pt-PT,Assine nossos e-mails
en,Welcome to our store,pt-PT,Bem-vindo à nossa loja
en,<p></p>,pt-PT,<p></p>
en,Shop Cash was not found.,pt-PT,O dinheiro da loja não foi encontrado.
en,You no longer have permission to place B2B orders. %{logout_url} to place a personal order instead.,pt-PT,Você não tem mais permissão para fazer pedidos B2B. %{logout_url} para fazer um pedido pessoal.
en,Log out,pt-PT,Sair
en,Exclusive offers from Shop,pt-PT,Ofertas exclusivas da Loja
en,Main menu,pt-PT,Menu principal
en,Footer menu,pt-PT,Menu de rodapé
en,Customer account main menu,pt-PT,Menu principal da conta do cliente
en,Home,pt-PT,Lar
en,Catalog,pt-PT,Catálogo
en,Contact,pt-PT,Contato
en,Search,pt-PT,Procurar
en,Shop,pt-PT,Comprar
en,Orders,pt-PT,Pedidos
en,Do not sell or share my personal information,pt-PT,Não venda ou compartilhe minhas informações pessoais
en,Home,pt-PT,Lar
