source_code,source_text,target_code,target_text
zh-CN,<p></p>,en,<p></p>
zh-CN,Share,en,Share
zh-CN,Collections,en,Collections
zh-CN,Submit,en,Submit
zh-CN,Opening soon,en,Opening soon
zh-CN,{{ product.vendor }},en,{{ product.vendor }}
zh-CN,Share,en,Share
zh-CN,You may also like,en,You may also like
zh-CN,Subscribe to our emails,en,Subscribe to our emails
zh-CN,Subscribe to our emails,en,Subscribe to our emails
zh-CN,Welcome to our store,en,Welcome to our store
zh-CN,Share,en,Share
zh-CN,Collections,en,Collections
zh-CN,Submit,en,Submit
zh-CN,Opening soon,en,Opening soon
zh-CN,{{ product.vendor }},en,{{ product.vendor }}
zh-CN,Share,en,Share
zh-CN,You may also like,en,You may also like
zh-CN,Subscribe to our emails,en,Subscribe to our emails
zh-CN,Subscribe to our emails,en,Subscribe to our emails
zh-CN,Welcome to our store,en,Welcome to our store
zh-CN,<p></p>,en,<p></p>
zh-CN,menu,en,menu
