source_code,source_text,target_code,target_text
en,<p></p>,zh-TW,<p></p>
en,Share,zh-TW,分享
en,Browse our latest products,zh-TW,瀏覽我們的最新產品
en,Shop all,zh-TW,選購全部
en,Featured products,zh-TW,特色產品
en,Collections,zh-TW,系列
en,Opening soon,zh-TW,即將開業
en,<p>Be the first to know when we launch.</p>,zh-TW,<p>成為第一個知道我們何時推出的人。
en,{{ product.vendor }},zh-TW,{{ product.vendor }}
en,Share,zh-TW,分享
en,You may also like,zh-TW,您可能也喜歡
en,Review Box,zh-TW,評論框
en,Subscribe to our emails,zh-TW,訂閱我們的電子郵件
en,Welcome to our store,zh-TW,歡迎來到我們的商店
en,"55,20,20,20",zh-TW,"55,20,20,20"
en,50px,zh-TW,50px
en,auto,zh-TW,auto
en,auto,zh-TW,auto
en,80px,zh-TW,80px
en,Share,zh-TW,分享
en,Browse our latest products,zh-TW,瀏覽我們的最新產品
en,Shop all,zh-TW,選購全部
en,Featured products,zh-TW,特色產品
en,Collections,zh-TW,系列
en,Opening soon,zh-TW,即將開業
en,<p>Be the first to know when we launch.</p>,zh-TW,<p>成為第一個知道我們何時推出的人。
en,{{ product.vendor }},zh-TW,{{ product.vendor }}
en,Share,zh-TW,分享
en,You may also like,zh-TW,您可能也喜歡
en,Review Box,zh-TW,評論框
en,Subscribe to our emails,zh-TW,訂閱我們的電子郵件
en,Welcome to our store,zh-TW,歡迎來到我們的商店
en,<p></p>,zh-TW,<p></p>
en,Main menu,zh-TW,主選單
en,Footer menu,zh-TW,頁尾選單
en,Customer account main menu,zh-TW,客戶帳戶主選單
en,Home,zh-TW,首頁
en,Catalog,zh-TW,目錄
en,Contact,zh-TW,聯繫
en,Search,zh-TW,搜尋
en,Shop,zh-TW,店鋪
en,Orders,zh-TW,訂單
en,Do not sell or share my personal information,zh-TW,請勿出售或分享我的個人信息
en,Home,zh-TW,首頁
